team,value
Abilene Christian,1577.8933714046077
Academy Of Art University,1549.831485602434
Air Force,1464.1362092560778
Akron,1597.3496451746955
Alabama,1665.2587383643522
Alabama A&M,1440.1148589847264
Alabama State,1374.18807199711
Albany,1496.2665302011674
Alcorn State,1480.3561283609165
Alice Lloyd,1420.5453365604553
Allen University,1481.286167222028
American,1402.0557196382915
American International,1468.134024104397
American University,1402.870318912247
Antelope Valley,1461.769704814312
Appalachian St,1586.9061870075395
Appalachian State,1531.567518325305
Aquinas College,1438.8240154881785
AR Pine Bluff,1352.8360907698545
Arizona,1754.686954166619
Arizona Christian,1447.2942042588147
Arizona State,1548.034867284096
Arkansas,1722.550342081442
Arkansas Baptist,1401.7392278499392
Arkansas Pine Bluff,1407.9583749370684
Arkansas State,1581.8105975799517
Arlington Baptist,1454.4849721798005
Army,1473.4222017584048
Asbury College,1453.8852233423527
Ashland University,1477.7191358071657
Auburn,1735.9046845389419
Austin Peay,1484.5361264923713
Babson,1457.31806590041
Ball State,1509.8726188089086
Baptist Bible College MO,1475.815713356762
Barclay College,1435.3603360649358
Baylor,1721.3299487931467
Belhaven,1458.7823658761731
Bellarmine,1557.8279415665334
Belmont,1683.5863701868395
Benedictine AZ,1436.3075416727127
Bethel IN,1486.3811752377142
Bethesda University,1372.1669757302916
Bethune Cookman,1359.921689268681
Binghamton,1465.7243563657553
Birmingham Southern,1456.8533467740378
Blue Mountain College,1469.6941659728695
Bluefield College,1413.5415937911278
Bob Jones University,1388.094084744251
Boise State,1706.751298981733
Boston College,1482.6088482294986
Boston U,1545.9037532065029
Boston University,1549.4057665349605
Bowling Green,1456.070371219403
Boyce,1451.3495508237888
Bradley,1571.0489375013417
Brescia University,1478.0491423050396
Brevard College,1455.377512608001
Brewton Parker,1466.4543029114768
Bridgewater College VA,1465.7043849196193
Brown,1478.7036378698178
Bryan College,1483.1442794951179
Bryant,1587.7959774152196
Bryn Athyn,1451.1744514703582
Bucknell,1391.326941451632
Buffalo,1625.5736337205878
Buffalo State,1457.7334265077952
Bushnell University,1460.8021310094693
Butler,1541.3973769599193
BYU,1644.7607131973602
C. Carolina,1608.8813410583948
Cairn University,1424.2937537185921
Cal,1547.0733136541146
Cal Baptist,1564.620970766893
Cal Poly,1369.17582164851
Cal Tech,1461.292956075942
California,1465.2615466671891
California Baptist,1465.7974862190026
California Lutheran,1438.8318386786218
California Merced,1467.5460971322923
Calvary,1460.5348692877287
Campbell,1510.745753586188
Campbellsville,1488.2139640883076
Campbellsville Harrodsburg,1441.5453269288332
Canisius,1408.986329326514
Carlow University,1425.0494359311815
Carolina University,1473.9324629889468
Carroll College MT,1487.6858810757396
Carver College,1289.69789517182
Cent Arkansas,1445.4480716684934
